OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species
48eba04a4c6ea4f83699ebdc7a48b4dd,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Uncultured, s__bacterium_enrichment
e46b9ceb4c692b5d087a7e8737974fff,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Uncultured, s__uncultured_bacterium
3ccb3cc712e0db60d7f9b06bde056a8a,d__Bacteria, p__Firmicutes, c__Clostridia, o__Peptococcales, f__Peptococcaceae, g__Uncultured, s__unidentified
c7dc02034f3a4aa4d0f188e420424dfd,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Lachnospiraceae_UCG-010, s__uncultured_bacterium
32019c66790172c71844e2b0a681de98,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__Unassaigned
fc4dbb5563efee17a16dd24301702476,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__Unassaigned
081cdd12fa6dab662d2b72a582d9b761,d__Bacteria, p__Firmicutes, c__Clostridia, o__Oscillospirales, f__Ruminococcaceae, g__Pygmaiobacter, s__uncultured_bacterium
a0e49f9a268a20eb99117bca0a5d0866,d__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridia_vadinBB60_group, f__Clostridia_vadinBB60_group, g__Clostridia_vadinBB60_group, s__uncultured_bacterium
dfefd1601becbc23d361edaeaacc9b13,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Unassigned, s__Unassaigned
1de7c6a74da34f1ec346a5e8f25da477,d__Bacteria, p__Desulfobacterota, c__Desulfovibrionia, o__Desulfovibrionales, f__Desulfovibrionaceae, g__Bilophila, s__uncultured_bacterium
5f74826a74efebf84afc4df43c06cc01,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__Bacteroides_finegoldii
81241964eac9be7a72797115e06e8baa,d__Bacteria, p__Firmicutes, c__Clostridia, o__Oscillospirales, f__Unassaigned, g__Unassigned, s__Unassaigned
cf0528bcf467f1a764ed7caa97055979,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__Bacteroides_sartorii
e902a45db3100596435e526a0295478d,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Tannerellaceae, g__Parabacteroides, s__Parabacteroides_sp.
4096d6766b0fdcbaf2b2aa5ceed02cd4,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Rikenellaceae, g__Alistipes, s__uncultured_bacterium
16c4c6dcf8f6aecc742df79b207beae8,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__Bacteroides_sartorii
bc4c2db62ffa3b2bd91450e6c3d09bbf,d__Bacteria, p__Firmicutes, c__Clostridia, o__Oscillospirales, f__Oscillospiraceae, g__Intestinimonas, s__Intestinimonas_timonensis
ee3ec613cfcb6e74ad505dc202277eea,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Tannerellaceae, g__Parabacteroides, s__uncultured_bacterium
c6c3749b461fefb9e7e3625da56d010c,d__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridia_vadinBB60_group, f__Clostridia_vadinBB60_group, g__Clostridia_vadinBB60_group, s__Unassaigned
09ccb9ce8dcc7f7b4f60331015f97686,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Tyzzerella, s__uncultured_rumen
0a55ab9827a6d0ebc61bbb4c07ec938c,d__Bacteria, p__Firmicutes, c__Clostridia, o__Oscillospirales, f__Oscillospiraceae, g__Oscillibacter, s__Unassaigned
bcfcb507786172504987dcf47044c277,d__Bacteria, p__Firmicutes, c__Bacilli, o__Erysipelotrichales, f__Erysipelotrichaceae, g__Dielma, s__Unassaigned
e1ec861fd4fde5be3b1c9e36ebc29cb0,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Tannerellaceae, g__Parabacteroides, s__Parabacteroides_sp.
50fe6207dec5ee65a8e668d944b6faf9,d__Bacteria, p__Firmicutes, c__Bacilli, o__Lactobacillales, f__Lactobacillaceae, g__Lactobacillus, s__Lactobacillus_apis
618b07d29ecdd57b808504bd3f5a6c83,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__Unassaigned
a9ce14730af6a3bbc15775ac5f539395,d__Bacteria, p__Firmicutes, c__Bacilli, o__RF39, f__RF39, g__RF39, s__Unassaigned
6570dcebd18a2a63e61890541d762546,d__Bacteria, p__Firmicutes, c__Clostridia, o__Oscillospirales, f__Ruminococcaceae, g__Candidatus_Soleaferrea, s__Candidatus_Soleaferrea
d80afeb9fb89348e68fc6d03757da525,d__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridia_vadinBB60_group, f__Clostridia_vadinBB60_group, g__Clostridia_vadinBB60_group, s__uncultured_bacterium
e9092302fb26b621ea095437eec21557,d__Bacteria, p__Actinobacteriota, c__Coriobacteriia, o__Coriobacteriales, f__Eggerthellaceae, g__Eggerthella, s__Unassaigned
583229f07ecffe26f713680165a7d577,d__Bacteria, p__Firmicutes, c__Clostridia, o__Oscillospirales, f__Butyricicoccaceae, g__UCG-009, s__Unassaigned
95d5c26e5a939615d46e26659e68afcb,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__Bacteroides_sartorii
c82870cd9d4730bc71f54e84a677293a,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Marinifilaceae, g__Odoribacter, s__unidentified
17d2296cc942354209a747a1252cc6ba,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Uncultured, s__uncultured_bacterium
462e83448fdf7cc3f7b447f093519d8e,d__Bacteria, p__Desulfobacterota, c__Desulfovibrionia, o__Desulfovibrionales, f__Desulfovibrionaceae, g__Bilophila, s__uncultured_bacterium
a8eb3e86e896febff5f3e223f84ba94b,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Tannerellaceae, g__Parabacteroides, s__Parabacteroides_goldsteinii
21e2be827b1668901a7c848343013d23,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Unassigned, s__Unassaigned
b8434e91b093bfbbec4cab80705bb363,d__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridia_UCG-014, f__Clostridia_UCG-014, g__Clostridia_UCG-014, s__uncultured_Firmicutes
48442b4d6ae7d85b597d423662134c97,d__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridia_UCG-014, f__Clostridia_UCG-014, g__Clostridia_UCG-014, s__Unassaigned
4e44c40ec88103ebb8cf8af36ecf1289,d__Bacteria, p__Firmicutes, c__Clostridia, o__Oscillospirales, f__Oscillospiraceae, g__Oscillibacter, s__Unassaigned
6b03764ef165ae4741abcd2e8b93cd1a,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Lachnoclostridium, s__Unassaigned
475eb8f5607bc77cdc60cd5b7e36a8ff,d__Bacteria, p__Firmicutes, c__Clostridia, o__Oscillospirales, f__Ruminococcaceae, g__Uncultured, s__Unassaigned
f43c56d983a42f7661f4527ef440cdae,d__Bacteria, p__Firmicutes, c__Bacilli, o__Erysipelotrichales, f__Erysipelotrichaceae, g__Dielma, s__Dielma_fastidiosa
e305e68d82ce28587688e21479664794,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Burkholderiales, f__Comamonadaceae, g__Rhodoferax, s__Unassaigned
e3e1cce0e179366fa0240d8a8db6c78f,d__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridia_UCG-014, f__Clostridia_UCG-014, g__Clostridia_UCG-014, s__Unassaigned
d987ea00be2d0b7202a3e30053ea4a8f,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pseudomonadales, f__Pseudomonadaceae, g__Pseudomonas, s__Unassaigned
4d25c48e77fb8917c80f39b3351603ca,d__Bacteria, p__Actinobacteriota, c__Actinobacteria, o__Corynebacteriales, f__Corynebacteriaceae, g__Corynebacterium, s__Unassaigned
26df44ea47f9f58e4905d7326f74c2e2,d__Bacteria, p__Cyanobacteria, c__Vampirivibrionia, o__Gastranaerophilales, f__Gastranaerophilales, g__Gastranaerophilales, s__Clostridium_sp.
0bb9c8d305574b3077d05d9c663ca49c,d__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridia_UCG-014, f__Clostridia_UCG-014, g__Clostridia_UCG-014, s__Unassaigned
8d999c682032ed3eb80c97d0f6f81614,d__Bacteria, p__Actinobacteriota, c__Actinobacteria, o__Micrococcales, f__Microbacteriaceae, g__Curtobacterium, s__Unassaigned
4a9724d292d19c24500e55edd63bc95f,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__Bacteroides_sartorii
ede3b1ec368eff139c865bf6c3ae5bff,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Lachnoclostridium, s__Unassaigned
e6d4211c886ef09dc5fb9a548b37647d,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Unassigned, s__Unassaigned
fc34bd79fdad486db4efc09066464bf0,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Tuzzerella, s__uncultured_bacterium
62874fe53b208362936c4dcee157eec4,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Unassigned, s__Unassaigned
17c2d0ecc8d210a2f48e1d675de70adb,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Marinifilaceae, g__Odoribacter, s__Unassaigned
900df8f4333124df384db9012a905941,d__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Enterobacterales, f__Hafniaceae, g__Hafnia-Obesumbacterium, s__Unassaigned
d7588aeeb977c28669ec2683d2143331,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Rikenellaceae, g__Alistipes, s__Unassaigned
18e75dc941a5259ffc90e22141a67b4f,d__Bacteria, p__Firmicutes, c__Clostridia, o__Oscillospirales, f__Ruminococcaceae, g__Harryflintia, s__uncultured_bacterium
cda3d0494eb8bb753c982caa9dac7676,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Tannerellaceae, g__Parabacteroides, s__Unassaigned
5f944efd5bd971237c1cce9761d56e2d,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Rikenellaceae, g__Alistipes, s__Unassaigned
929805da29bce3a9838d81700d0a5770,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Hungatella, s__uncultured_bacterium
5dcb8be6207a0ee0d9314175ba9b65e8,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Rikenellaceae, g__Alistipes, s__Unassaigned
f0473e08062b5eb409702ccbc1619f12,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__Unassaigned
e13530b3591c561175f61a46ccf146de,d__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridia_UCG-014, f__Clostridia_UCG-014, g__Clostridia_UCG-014, s__uncultured_bacterium
35175c044df8ae95f804b7b93b82225f,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Tannerellaceae, g__Parabacteroides, s__Unassaigned
4f614c4d867a7c431e21696122280d94,d__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridia_UCG-014, f__Clostridia_UCG-014, g__Clostridia_UCG-014, s__Unassaigned
7b9b79b802f8de25134451c768e4f3bb,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Rikenellaceae, g__Alistipes, s__Unassaigned
9a44044552ef4b3f57c9c2791535c428,d__Bacteria, p__Firmicutes, c__Bacilli, o__RF39, f__RF39, g__RF39, s__Unassaigned
5d2d4a21d916e214a93e99ff5eaab882,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Tuzzerella, s__Unassaigned
df348a5cb8d8623f5d78299335880cf1,d__Bacteria, p__Firmicutes, c__Clostridia, o__Oscillospirales, f__Oscillospiraceae, g__Unassigned, s__Unassaigned
4a8530d808c5e21c717060e9dcde047e,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Unassigned, s__Unassaigned
d757664837fdfefb4f89ff86da63cd07,d__Bacteria, p__Firmicutes, c__Clostridia, o__Oscillospirales, f__Ruminococcaceae, g__Uncultured, s__Unassaigned
50cd083aab911d938d1ec95b952e0800,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Caulobacterales, f__Caulobacteraceae, g__Uncultured, s__Unassaigned
862d8164effc724deb26e10d80050dfb,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Tannerellaceae, g__Tannerellaceae, s__Parabacteroides_sp.
082c4245101ba4c942b8d335889118bb,d__Bacteria, p__Firmicutes, c__Clostridia, o__Oscillospirales, f__Ruminococcaceae, g__Uncultured, s__uncultured_bacterium
e4a269a43bf757dc01030b4a91fc06aa,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Uncultured, s__Unassaigned
ffebd5d85f80640bb464e5d5c6810f38,d__Bacteria, p__Firmicutes, c__Clostridia, o__Oscillospirales, f__Ruminococcaceae, g__Paludicola, s__uncultured_bacterium
850269dc256a49e7911c02d836acf5e2,d__Bacteria, p__Firmicutes, c__Clostridia, o__Oscillospirales, f__Butyricicoccaceae, g__Butyricicoccus, s__uncultured_bacterium
1faf2aad9b167eee2f898a335712f8b7,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__Unassaigned
121e9db1a1a72edda7b7a2bbc723bf5d,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Rikenellaceae, g__Rikenella, s__Unassaigned
2801499a120ab69b9a32f66b199a047f,d__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridia_vadinBB60_group, f__Clostridia_vadinBB60_group, g__Clostridia_vadinBB60_group, s__uncultured_bacterium
94befefd58b96b9f30c476dabd6beac5,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Rikenellaceae, g__Alistipes, s__uncultured_bacterium
a3ec387c4e557381be14dad3d94736f7,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__Unassaigned
d6a6c2c7402c7746ae8f3c64899b0f7f,d__Bacteria, p__Actinobacteriota, c__Actinobacteria, o__Bifidobacteriales, f__Bifidobacteriaceae, g__Bifidobacterium, s__Bifidobacterium_asteroides
8b5f90f80df6fa698c19de9d98ff845f,d__Bacteria, p__Firmicutes, c__Clostridia, o__Oscillospirales, f__Oscillospiraceae, g__Uncultured, s__uncultured_bacterium
5cf5db27f37f0d012056c44d3633c726,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Unassigned, s__Unassaigned
e6a6a9477e90630b6b9878f80a53626b,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Marinifilaceae, g__Butyricimonas, s__uncultured_organism
5a354076b2e0c89dd0a223647a43610c,d__Bacteria, p__Firmicutes, c__Bacilli, o__RF39, f__RF39, g__RF39, s__unidentified
17e497268176c8833665b4e7e49d4611,d__Bacteria, p__Firmicutes, c__Clostridia, o__Oscillospirales, f__Oscillospiraceae, g__Colidextribacter, s__Unassaigned
c4c273c066d2747d4e3bf6e93257dfd7,d__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridia_UCG-014, f__Clostridia_UCG-014, g__Clostridia_UCG-014, s__uncultured_bacterium
04a0f8ee3769969d7a09b018cefdda98,d__Bacteria, p__Firmicutes, c__Clostridia, o__Oscillospirales, f__Oscillospiraceae, g__Intestinimonas, s__uncultured_Ruminococcaceae
755c13aed61e778e4ca4b61110decc2b,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae, g__Rubellimicrobium, s__uncultured_bacterium
b900f862c7e018da5ea21a428d6eda09,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Unassigned, s__Unassaigned
1c81489b2c124eaec4ef972bc2d12305,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Marinifilaceae, g__Odoribacter, s__uncultured_bacterium
ad1821c5cb0ae3ba5de9e52f61f5eb3f,d__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodospirillales, f__uncultured, g__Uncultured, s__uncultured_rumen
d47f6b7451a78ea404c5783d0b0fdbb9,d__Bacteria, p__Firmicutes, c__Clostridia, o__Peptostreptococcales-Tissierellales, f__Anaerovoracaceae, g__Anaerovorax, s__uncultured_bacterium
19c88c43cefc0efae399898111815666,d__Bacteria, p__Actinobacteriota, c__Actinobacteria, o__Micrococcales, f__Micrococcaceae, g__Kocuria, s__Kocuria_marina
427fbb98d599d2ccdb794a4804a68709,d__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridia_UCG-014, f__Clostridia_UCG-014, g__Clostridia_UCG-014, s__Unassaigned
a16986411ff8c5714b2ba245262b5f95,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Unassigned, s__Unassaigned
77840c5a259b4caaeefcc979c6fac208,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__Unassaigned
e7dda14f2020bb1da5af99886b9c1cfd,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Lachnospiraceae_NK4A136, s__Unassaigned
2d6a998c5847cf7e935552f323c8c886,d__Bacteria, p__Firmicutes, c__Clostridia, o__Oscillospirales, f__Ruminococcaceae, g__Candidatus_Soleaferrea, s__uncultured_Anaerotruncus
88225cc82ff505ea2dd06249eee6354c,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Rikenellaceae, g__Rikenella, s__Rikenella_microfusus
12e2c6e172386c31842cb36a25bea63a,d__Bacteria, p__Firmicutes, c__Bacilli, o__Erysipelotrichales, f__Erysipelatoclostridiaceae, g__Unassigned, s__Unassaigned
25d26dffe0bd115d231dc8a8554db8eb,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Tannerellaceae, g__Parabacteroides, s__Unassaigned
6571d2b98321f14d47d791a61813bd2f,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Tannerellaceae, g__Tannerellaceae, s__Parabacteroides_sp.
2f08b82ec9f4a2ab61dd980df34c305f,d__Bacteria, p__Firmicutes, c__Negativicutes, o__Veillonellales-Selenomonadales, f__Unassaigned, g__Unassigned, s__Unassaigned
361f536e4ad5d69a887702782590969e,d__Bacteria, p__Cyanobacteria, c__Vampirivibrionia, o__Gastranaerophilales, f__Gastranaerophilales, g__Gastranaerophilales, s__Unassaigned
461b33b0b1e87fa061c2d01d6e86d132,d__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridia_UCG-014, f__Clostridia_UCG-014, g__Clostridia_UCG-014, s__Unassaigned
0e25a8418769d8efc4d0a482ab521480,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Marinifilaceae, g__Odoribacter, s__uncultured_bacterium
cc116408b956f36a3b5dee06f75b77cb,d__Bacteria, p__Firmicutes, c__Clostridia, o__Oscillospirales, f__Ruminococcaceae, g__Unassigned, s__Unassaigned
1d21fe497236e5356dc0aaf5efa0b6ea,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__Bacteroides_sartorii
716b22e39b7c0a23c9ae84b3d8d52558,d__Bacteria, p__Firmicutes, c__Clostridia, o__Oscillospirales, f__Oscillospiraceae, g__Uncultured, s__Unassaigned
b7173ea1651f9ffadee9394850962d1e,d__Bacteria, p__Firmicutes, c__Clostridia, o__Lachnospirales, f__Lachnospiraceae, g__Unassigned, s__Unassaigned
f87cb8882fbf7d7409026c717fba6937,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Rikenellaceae, g__Alistipes, s__Unassaigned
c29e71500c85aa24c58047c7f1b60fc6,d__Bacteria, p__Firmicutes, c__Clostridia, o__Oscillospirales, f__Oscillospirales, g__Hydrogenoanaerobacterium, s__uncultured_bacterium
7a2d568e92e5f07a43f7b04a6dc80a6f,d__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridia_UCG-014, f__Clostridia_UCG-014, g__Clostridia_UCG-014, s__Unassaigned
bd66caeb972342f39c8ac509a7e23183,d__Bacteria, p__Firmicutes, c__Clostridia, o__Oscillospirales, f__Oscillospiraceae, g__Intestinimonas, s__Unassaigned
dede68dbc0661af0f11541605b3b9d5b,d__Bacteria, p__Bacteroidota, c__Bacteroidia, o__Bacteroidales, f__Bacteroidaceae, g__Bacteroides, s__uncultured_bacterium
